id,created_at,activity_type,runner_id,search_method,search_input_hash,success,ip_address,user_agent,error_message,metadata
00100acd-2a80-4eb0-b50f-d96f551fc1e4,2026-07-04 07:12:15.669849+00,save_image,636facc5-676c-4e0c-91da-e0cf199483a3,,,true,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Safari Line/26.9.0",,"{""file_name"":""RunnerCard1_3101202996233.png"",""image_format"":""png""}"
00109b1d-3b79-42bc-aefa-3edae337c5f8,2026-07-06 10:41:27.216672+00,lookup,,name,77d5ab54f4255c369d7095135f6a23ef57c8488237a53b77d1a7c7baa6c55ff3,false,,"Mozilla/5.0 (Linux; Android 16; V2440 Build/BP2A.250605.031.A3_T1NN_V000L1) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/149.0.7827.192 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/567.1.0.52.74;IABMV/1;]",Runner not found,{}
00149efd-3b59-4fa2-a4e3-e5e1f8679711,2026-07-04 05:18:16.35362+00,lookup,697a9070-df0e-42a9-8bff-d6853d2048e7,id_card,fbbf2bf757f415d324969a50d8cb4c96d885cb973cfc32464db6600593a528a6,true,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",,{}
00157924-51c1-4642-b74f-662da63b6419,2026-07-03 09:28:10.51113+00,lookup,4df4dfb4-f1b7-4c60-b29d-66065b746c27,name,c1be35d7f67c5089ac261da0dc1d73263525f40976d4ca875a20eff8892c4755,true,,"Mozilla/5.0 (Linux; Android 15; 2201123G Build/AQ3A.250226.002; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/149.0.7827.192 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/567.1.0.52.74;IABMV/1;]",,{}
0016bb04-9675-4e21-bcb7-45abce53c26d,2026-07-22 07:04:28.975765+00,lookup,,name,3f6eb6a64a80ea0cf944a96bcf0cd77778aa0893d81965a6da59dfcb0f4e1953,false,,"Mozilla/5.0 (Linux; Android 16; CPH2791 Build/BP2A.250605.015) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/150.0.7871.121 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/570.0.0.24.72;IABMV/1;]",Runner not found,{}
0021b849-42e3-42b2-a05c-8ab926b28961,2026-07-03 16:14:18.317084+00,lookup,ec9298b3-0f67-4956-8b77-811439cc947e,id_card,d9f1e1ab4d59139560e46bb6155152bac2ff8ebd9c125f3e3772dd4f5cefd61c,true,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Safari Line/26.9.0",,{}
0023e2a3-dcea-4d79-ba11-7285af6011d9,2026-07-18 03:26:47.312589+00,lookup,bb72eb88-cb86-4bac-8b02-f91ddd28c7c1,name,9e3277be185c36273e39c33de76a5a830339f9280671a48d4eaa7e5912b42e2c,true,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5.2 Mobile/15E148 Safari/604.1",,{}
00286848-33ba-413a-bc16-6e9d1a7a18c1,2026-07-17 03:08:45.650429+00,save_image,182f6d5b-f51c-4a71-9fa0-60555aa727b1,,,true,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36 Edg/150.0.0.0",,"{""file_name"":""RunnerCard1_3520101002319.png"",""image_format"":""png""}"
00291ae3-3e09-42fa-93d7-d314e146d208,2026-07-10 09:03:55.309727+00,save_image,4804c80f-e27c-4391-bb78-2774bd006449,,,true,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",,"{""file_name"":""RunnerCard1_3101700403072.png"",""image_format"":""png""}"
002dd66f-b755-48e7-84ff-d370faa96566,2026-07-03 08:56:44.958578+00,lookup,58add468-3ec0-4f80-8150-a79813f352cd,id_card,6712325d22ddcf8d3428aca181cfc0f1b71eafc64d9bcf8d6e9418c452d55e75,true,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",,{}
