id,created_at,activity_type,runner_id,search_method,search_input_hash,success,ip_address,user_agent,error_message,metadata
001208f6-3f5a-44b1-8557-9bcf37016c6d,2026-05-07 15:37:41.236526+00,lookup,890af09d-003d-443a-9e04-29c0a4f67830,name,246c069f9f6a142c755686a4dc70d0e6a9b4499e28f50b86903109e15e2e711e,true,,"Mozilla/5.0 (Linux; Android 16; SM-S916B Build/BP2A.250605.031.A3) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.108 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/558.0.0.70.72;IABMV/1;]",,{}
00373341-6923-4ecd-a3bd-8d1eb350bf3e,2026-05-09 05:10:56.304701+00,lookup,,name,c110774403ac6e8d963c55cb5b35217b6688f59149d526dd14688c4bef595865,false,,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_4_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/23E261 Safari/604.1 [FBAN/FBIOS;FBAV/559.0.0.56.80;FBBV/955347213;FBDV/iPhone16,2;FBMD/iPhone;FBSN/iOS;FBSV/26.4.2;FBSS/3;FBID/phone;FBLC/th_Qaau_TH;FBOP/5;FBRV/965568845;IABMV/1]",Runner not found,{}
004923b1-ba21-42fc-93b6-3c7fce8f8865,2026-05-09 05:38:39.545274+00,lookup,3505ac15-72db-4234-9229-d4b0ed6ff8da,name,19f996f458c1a5bd2e26cb7c89cbb654edbabbb9160c8a651cd018fd737c654d,true,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Mobile/15E148 Safari/604.1",,{}
004b7d66-d856-43f5-a07d-581ac0afe206,2026-05-09 04:38:27.874635+00,lookup,8b4fdd0f-bc34-49e7-bdda-a0def4b5f72d,id_card,a5cb462e532d3f628f9e0eacc16e8802ca6c39e44f5caa8a94f43ad0503643fb,true,,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_4_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/23E261 Safari/604.1 [FBAN/FBIOS;FBAV/559.0.0.56.80;FBBV/955347213;FBDV/iPhone14,5;FBMD/iPhone;FBSN/iOS;FBSV/26.4.2;FBSS/3;FBID/phone;FBLC/th_Qaau_TH;FBOP/5;FBRV/965777193;IABMV/1]",,{}
005b1c24-0090-48d7-a808-5bccde6a2c95,2026-05-09 06:53:10.670472+00,link_line_account,19fcdc97-4a79-4448-9bb2-5a4b3c0711b8,,,true,,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_4_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/23E261 Safari/604.1 [FBAN/FBIOS;FBAV/559.0.0.56.80;FBBV/955347213;FBDV/iPhone16,2;FBMD/iPhone;FBSN/iOS;FBSV/26.4.2;FBSS/3;FBID/phone;FBLC/en_Qaau_US;FBOP/5;FBRV/966160137;IABMV/1]",,"{""bib"":""2762"",""user_agent"":""Mozilla/5.0 (iPhone; CPU iPhone OS 26_4_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/23E261 Safari/604.1 [FBAN/FBIOS;FBAV/559.0.0.56.80;FBBV/955347213;FBDV/iPhone16,2;FBMD/iPhone;FBSN/iOS;FBSV/26.4.2;FBSS/3;FBID/phone;FBLC/en_Qaau_US;FBOP/5;FBRV/966160137;IABMV/1]"",""line_app_url"":""line://app/2007692747-pOVazJLi?bib=2762""}"
006dc718-574c-445e-b21c-932c639ded8e,2026-05-09 11:31:31.54101+00,lookup,,name,224dcb2666d768d07778417dc9b05770d5b0d034ad84613c024175a9ad61e103,false,,"Mozilla/5.0 (Linux; Android 16; SM-A556E Build/BP2A.250605.031.A3) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.134 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/559.1.0.52.72;IABMV/1;]",Runner not found,{}
008800bf-8157-4ee9-81ea-8e40a6e52a94,2026-05-09 06:10:28.969394+00,save_image,aa965524-00f9-41fa-b00d-07de2b355a08,,,true,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Safari Line/26.5.0",,"{""file_name"":""RunnerCard1_1845.png"",""image_format"":""png""}"
0088c580-a11b-42fa-88e7-001eec32a2ec,2026-05-09 02:22:34.486647+00,lookup,6231134f-aef4-45a8-9289-4ee1890d060e,name,df315cac95374b753102151856271e2ab2058b20d0c9cace5ffba407351a71b4,true,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.4 Mobile/15E148 Safari/604.1",,{}
00a99c3a-67a2-483c-83ff-a2571a0dee2d,2026-05-06 12:20:09.025493+00,link_line_account,2b2f74e9-c0ea-483c-8ff9-633d9f4b6781,,,true,,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_4_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/23E261 Safari/604.1 [FBAN/FBIOS;FBAV/559.0.0.56.80;FBBV/955347213;FBDV/iPhone16,2;FBMD/iPhone;FBSN/iOS;FBSV/26.4.2;FBSS/3;FBID/phone;FBLC/th_Qaau_TH;FBOP/5;FBRV/962827781;IABMV/1]",,"{""bib"":""1873"",""user_agent"":""Mozilla/5.0 (iPhone; CPU iPhone OS 26_4_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/23E261 Safari/604.1 [FBAN/FBIOS;FBAV/559.0.0.56.80;FBBV/955347213;FBDV/iPhone16,2;FBMD/iPhone;FBSN/iOS;FBSV/26.4.2;FBSS/3;FBID/phone;FBLC/th_Qaau_TH;FBOP/5;FBRV/962827781;IABMV/1]"",""line_app_url"":""line://app/2007692747-pOVazJLi?bib=1873""}"
00c17182-caf3-4c7a-b84e-154f7226ac00,2026-05-09 06:08:03.77697+00,lookup,22a90986-dfbb-4820-8ad8-96be64a581a8,name,17af7f5badaebc2a479046a5908cbebaecd52a282bbeb2f371f45a1f9be98864,true,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",,{}
